country,country_code,year_week,source,new_cases,number_sequenced,percent_cases_sequenced,valid_denominator,variant,number_detections_variant,number_sequenced_known_variant,percent_variant
Netherlands,NL,2021-28,TESSy,70107,2236,3.2,Yes,B.1.1.7,172,2236,7.7
Netherlands,NL,2021-28,TESSy,70107,2236,3.2,Yes,B.1.617,0,2236,0
Netherlands,NL,2021-28,TESSy,70107,2236,3.2,Yes,B.1.617.2,2038,2236,91.1
Netherlands,NL,2021-28,TESSy,70107,2236,3.2,Yes,P.1,2,2236,0.1
Netherlands,NL,2021-28,TESSy,70107,2236,3.2,Yes,Other,24,2236,1.1
Netherlands,NL,2021-29,TESSy,44975,2122,4.7,Yes,B.1.1.7,85,2122,4
Netherlands,NL,2021-29,TESSy,44975,2122,4.7,Yes,B.1.617,0,2122,0
Netherlands,NL,2021-29,TESSy,44975,2122,4.7,Yes,B.1.617.2,2032,2122,95.8
Netherlands,NL,2021-29,TESSy,44975,2122,4.7,Yes,P.1,4,2122,0.2
Netherlands,NL,2021-29,TESSy,44975,2122,4.7,Yes,Other,1,2122,0
Netherlands,NL,2021-30,TESSy,24396,1745,7.2,Yes,B.1.1.7,52,1745,3
Netherlands,NL,2021-30,TESSy,24396,1745,7.2,Yes,B.1.617,0,1745,0
Netherlands,NL,2021-30,TESSy,24396,1745,7.2,Yes,B.1.617.2,1688,1745,96.7
Netherlands,NL,2021-30,TESSy,24396,1745,7.2,Yes,B.1.621,3,1745,0.2
Netherlands,NL,2021-30,TESSy,24396,1745,7.2,Yes,P.1,2,1745,0.1
Netherlands,NL,2021-31,TESSy,18035,1499,8.3,Yes,AY.4.2,1,1499,0.1
Netherlands,NL,2021-31,TESSy,18035,1499,8.3,Yes,B.1.1.7,19,1499,1.3
Netherlands,NL,2021-31,TESSy,18035,1499,8.3,Yes,B.1.617,0,1499,0
Netherlands,NL,2021-31,TESSy,18035,1499,8.3,Yes,B.1.617.2,1477,1499,98.5
Netherlands,NL,2021-31,TESSy,18035,1499,8.3,Yes,P.1,1,1499,0.1
Netherlands,NL,2021-31,TESSy,18035,1499,8.3,Yes,Other,1,1499,0.1
Netherlands,NL,2021-32,TESSy,16112,1508,9.4,Yes,B.1.1.7,32,1508,2.1
Netherlands,NL,2021-32,TESSy,16112,1508,9.4,Yes,B.1.617,0,1508,0
Netherlands,NL,2021-32,TESSy,16112,1508,9.4,Yes,B.1.617.2,1475,1508,97.8
Netherlands,NL,2021-32,TESSy,16112,1508,9.4,Yes,B.1.621,1,1508,0.1
Netherlands,NL,2021-33,TESSy,16918,1757,10.4,Yes,AY.4.2,2,1757,0.1
Netherlands,NL,2021-33,TESSy,16918,1757,10.4,Yes,B.1.1.7,6,1757,0.3
Netherlands,NL,2021-33,TESSy,16918,1757,10.4,Yes,B.1.617,0,1757,0
Netherlands,NL,2021-33,TESSy,16918,1757,10.4,Yes,B.1.617.2,1746,1757,99.4
Netherlands,NL,2021-33,TESSy,16918,1757,10.4,Yes,P.1,3,1757,0.2
Netherlands,NL,2021-34,TESSy,17830,1672,9.4,Yes,AY.4.2,2,1672,0.1
Netherlands,NL,2021-34,TESSy,17830,1672,9.4,Yes,B.1.617,0,1672,0
Netherlands,NL,2021-34,TESSy,17830,1672,9.4,Yes,B.1.617.2,1665,1672,99.6
Netherlands,NL,2021-34,TESSy,17830,1672,9.4,Yes,P.1,1,1672,0.1
Netherlands,NL,2021-34,TESSy,17830,1672,9.4,Yes,Other,4,1672,0.2
Netherlands,NL,2021-35,TESSy,17658,1488,8.4,Yes,AY.4.2,4,1488,0.3
Netherlands,NL,2021-35,TESSy,17658,1488,8.4,Yes,B.1.617,0,1488,0
Netherlands,NL,2021-35,TESSy,17658,1488,8.4,Yes,B.1.617.2,1481,1488,99.5
Netherlands,NL,2021-35,TESSy,17658,1488,8.4,Yes,Other,3,1488,0.2
Netherlands,NL,2021-36,TESSy,16716,1490,8.9,Yes,AY.4.2,2,1490,0.1
Netherlands,NL,2021-36,TESSy,16716,1490,8.9,Yes,B.1.617,0,1490,0
Netherlands,NL,2021-36,TESSy,16716,1490,8.9,Yes,B.1.617.2,1485,1490,99.7
Netherlands,NL,2021-36,TESSy,16716,1490,8.9,Yes,P.1,1,1490,0.1
Netherlands,NL,2021-36,TESSy,16716,1490,8.9,Yes,Other,2,1490,0.1
Netherlands,NL,2021-37,TESSy,14022,1490,10.6,Yes,AY.4.2,1,1490,0.1
Netherlands,NL,2021-37,TESSy,14022,1490,10.6,Yes,B.1.617,0,1490,0
Netherlands,NL,2021-37,TESSy,14022,1490,10.6,Yes,B.1.617.2,1488,1490,99.9
Netherlands,NL,2021-37,TESSy,14022,1490,10.6,Yes,Other,1,1490,0.1
Netherlands,NL,2021-38,TESSy,11612,1360,11.7,Yes,AY.4.2,3,1360,0.2
Netherlands,NL,2021-38,TESSy,11612,1360,11.7,Yes,B.1.617,0,1360,0
Netherlands,NL,2021-38,TESSy,11612,1360,11.7,Yes,B.1.617.2,1356,1360,99.7
Netherlands,NL,2021-38,TESSy,11612,1360,11.7,Yes,Other,1,1360,0.1
Netherlands,NL,2021-39,TESSy,11543,1193,10.3,Yes,AY.4.2,6,1193,0.5
Netherlands,NL,2021-39,TESSy,11543,1193,10.3,Yes,B.1.617,0,1193,0
Netherlands,NL,2021-39,TESSy,11543,1193,10.3,Yes,B.1.617.2,1186,1193,99.4
Netherlands,NL,2021-39,TESSy,11543,1193,10.3,Yes,Other,1,1193,0.1
Netherlands,NL,2021-40,TESSy,16133,1479,9.2,Yes,AY.4.2,6,1479,0.4
Netherlands,NL,2021-40,TESSy,16133,1479,9.2,Yes,B.1.617,0,1479,0
Netherlands,NL,2021-40,TESSy,16133,1479,9.2,Yes,B.1.617.2,1473,1479,99.6
Netherlands,NL,2021-41,TESSy,23530,1674,7.1,Yes,AY.4.2,3,1674,0.2
Netherlands,NL,2021-41,TESSy,23530,1674,7.1,Yes,B.1.617,0,1674,0
Netherlands,NL,2021-41,TESSy,23530,1674,7.1,Yes,B.1.617.2,1671,1674,99.8
Netherlands,NL,2021-42,TESSy,34831,1514,4.3,Yes,AY.4.2,10,1514,0.7
Netherlands,NL,2021-42,TESSy,34831,1514,4.3,Yes,B.1.617,0,1514,0
Netherlands,NL,2021-42,TESSy,34831,1514,4.3,Yes,B.1.617.2,1504,1514,99.3
Netherlands,NL,2021-43,TESSy,49459,1913,3.9,Yes,AY.4.2,23,1913,1.2
Netherlands,NL,2021-43,TESSy,49459,1913,3.9,Yes,B.1.617,0,1913,0
Netherlands,NL,2021-43,TESSy,49459,1913,3.9,Yes,B.1.617.2,1889,1913,98.7
Netherlands,NL,2021-43,TESSy,49459,1913,3.9,Yes,Other,1,1913,0.1
Netherlands,NL,2021-44,TESSy,68916,1994,2.9,Yes,AY.4.2,42,1994,2.1
Netherlands,NL,2021-44,TESSy,68916,1994,2.9,Yes,B.1.617,0,1994,0
Netherlands,NL,2021-44,TESSy,68916,1994,2.9,Yes,B.1.617.2,1952,1994,97.9
Netherlands,NL,2021-45,TESSy,93763,1804,1.9,Yes,AY.4.2,42,1804,2.3
